epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.735,3.10398,3.6119,0.00522,0.3295,0.16951,0.10613,0.04374,2.97175,2.691,0.00547,0.000331461,0.000331461,0.0671854
2,742.972,2.89286,2.42897,0.00445,0.37798,0.27351,0.1783,0.07616,2.80401,2.34396,0.00519,0.000660406,0.000660406,0.034181
3,1149.83,2.81971,2.19298,0.00422,0.26604,0.31207,0.209,0.08624,2.80733,2.27299,0.00503,0.000984952,0.000984952,0.00117222
4,1521.32,2.78201,2.07103,0.00413,0.38675,0.33654,0.23954,0.09688,2.78956,2.16499,0.00507,0.0009802,0.0009802,0.0009802
5,1899.56,2.75478,1.98913,0.00407,0.39935,0.36499,0.25469,0.10512,2.69919,2.10899,0.00484,0.0009736,0.0009736,0.0009736
6,2264.07,2.7402,1.95601,0.00403,0.31815,0.38501,0.27463,0.11095,2.72074,2.05064,0.00493,0.000967,0.000967,0.000967
7,2615.31,2.72758,1.90697,0.004,0.29597,0.35589,0.25298,0.10089,2.75661,2.06748,0.00494,0.0009604,0.0009604,0.0009604
8,2965.5,2.71625,1.8829,0.00398,0.29964,0.39263,0.27384,0.11486,2.70236,2.01606,0.00481,0.0009538,0.0009538,0.0009538
9,3316.11,2.6856,1.85056,0.00393,0.31888,0.38524,0.28131,0.11666,2.70441,2.00545,0.0048,0.0009472,0.0009472,0.0009472
10,3666.87,2.6883,1.82765,0.00389,0.32496,0.41111,0.28604,0.11502,2.6973,2.01699,0.00476,0.0009406,0.0009406,0.0009406
11,4018.05,2.67512,1.8181,0.00386,0.41003,0.40473,0.2972,0.12306,2.70185,1.94711,0.00482,0.000934,0.000934,0.000934
12,4371.83,2.65275,1.79752,0.00384,0.39558,0.41048,0.29719,0.12164,2.68069,1.94926,0.00476,0.0009274,0.0009274,0.0009274
13,4723.92,2.6506,1.78011,0.00381,0.31816,0.42572,0.30029,0.12456,2.67609,2.01041,0.00475,0.0009208,0.0009208,0.0009208
14,5075.95,2.63688,1.79184,0.00383,0.41861,0.41627,0.30182,0.12728,2.64521,2.10185,0.00463,0.0009142,0.0009142,0.0009142
15,5425.51,2.63277,1.7681,0.00378,0.3354,0.41547,0.29483,0.12303,2.64875,1.97877,0.0047,0.0009076,0.0009076,0.0009076
16,5801.72,2.63605,1.76211,0.00377,0.34949,0.40286,0.3019,0.12474,2.67176,1.96637,0.00468,0.000901,0.000901,0.000901
17,6212.01,2.63801,1.75007,0.00378,0.34557,0.42238,0.30313,0.12626,2.65023,2.02985,0.00468,0.0008944,0.0008944,0.0008944
18,6623.61,2.62464,1.74558,0.00374,0.41752,0.42347,0.31088,0.12914,2.6609,1.92474,0.00464,0.0008878,0.0008878,0.0008878
19,7037.53,2.62705,1.73912,0.00375,0.34419,0.42834,0.31061,0.12897,2.65859,1.92412,0.00463,0.0008812,0.0008812,0.0008812
20,7451.74,2.61309,1.72224,0.00373,0.33516,0.41663,0.2954,0.12328,2.63198,2.00817,0.00467,0.0008746,0.0008746,0.0008746
21,7866.32,2.61968,1.70408,0.00376,0.34535,0.43945,0.30411,0.12364,2.70387,1.9475,0.00481,0.000868,0.000868,0.000868
22,8284.73,2.60427,1.70526,0.00369,0.34973,0.43296,0.3165,0.13303,2.63391,1.91673,0.00459,0.0008614,0.0008614,0.0008614
23,8671.81,2.60042,1.70727,0.00372,0.36837,0.43911,0.31662,0.12881,2.66731,1.99487,0.00462,0.0008548,0.0008548,0.0008548
24,9020.71,2.59658,1.70374,0.0037,0.34053,0.41777,0.30895,0.12902,2.64036,1.94184,0.0047,0.0008482,0.0008482,0.0008482
25,9373.3,2.59046,1.70156,0.00371,0.34627,0.44842,0.31841,0.13549,2.626,1.88308,0.00456,0.0008416,0.0008416,0.0008416
26,9723.9,2.5874,1.69407,0.00368,0.35367,0.44659,0.32345,0.13478,2.64269,1.89802,0.00463,0.000835,0.000835,0.000835
27,10077.4,2.58532,1.67676,0.00369,0.35062,0.43243,0.31323,0.13205,2.64934,1.92877,0.00464,0.0008284,0.0008284,0.0008284
28,10429.1,2.58667,1.68043,0.00368,0.35362,0.44107,0.31787,0.13331,2.63082,1.89683,0.00453,0.0008218,0.0008218,0.0008218
29,10783.1,2.58186,1.66872,0.00367,0.36073,0.44937,0.32449,0.13741,2.63661,1.88531,0.00457,0.0008152,0.0008152,0.0008152
30,11133.9,2.57134,1.67588,0.00362,0.34463,0.43725,0.32203,0.13628,2.63569,1.9034,0.00464,0.0008086,0.0008086,0.0008086
31,11486.3,2.57487,1.65845,0.00363,0.35249,0.43913,0.31774,0.132,2.64398,1.95336,0.00463,0.000802,0.000802,0.000802
32,11839.6,2.56367,1.65592,0.0036,0.35895,0.44869,0.32773,0.13635,2.63702,1.93563,0.00461,0.0007954,0.0007954,0.0007954
33,12191.9,2.56701,1.64755,0.00363,0.34325,0.45065,0.3141,0.13263,2.64789,1.89652,0.00463,0.0007888,0.0007888,0.0007888
