epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5495,3.06417,4.23532,1.35453,0.38592,0.17177,0.09427,0.03955,2.76061,2.66546,1.132,0.000174348,0.000174348,0.000174348
2,132.667,2.76095,2.45147,1.17775,0.45537,0.24767,0.15891,0.06285,2.67783,2.11499,1.14179,0.000342758,0.000342758,0.000342758
3,196.222,2.65603,2.08327,1.16529,0.3906,0.31006,0.21791,0.08953,2.52273,1.87542,1.11841,0.000504224,0.000504224,0.000504224
4,260.335,2.60779,1.90265,1.15059,0.41339,0.32771,0.23561,0.09426,2.49876,1.83758,1.12317,0.000494756,0.000494756,0.000494756
5,323.133,2.58848,1.80599,1.13682,0.29447,0.34039,0.25314,0.10549,2.45022,1.76011,1.12481,0.000484341,0.000484341,0.000484341
6,387.419,2.53409,1.72154,1.12533,0.33967,0.35953,0.25565,0.10599,2.42767,1.76982,1.11581,0.000473926,0.000473926,0.000473926
7,449.929,2.52323,1.67533,1.12925,0.33602,0.37371,0.26557,0.11112,2.4306,1.73361,1.10705,0.000463511,0.000463511,0.000463511
8,513.238,2.4983,1.6303,1.11914,0.35542,0.38333,0.28114,0.11632,2.42361,1.71172,1.10463,0.000453096,0.000453096,0.000453096
9,575.759,2.50132,1.61791,1.11758,0.35293,0.38855,0.27875,0.11728,2.39267,1.69873,1.0966,0.000442682,0.000442682,0.000442682
10,638.669,2.47635,1.58669,1.11871,0.35917,0.37843,0.28409,0.11954,2.37351,1.661,1.09187,0.000432267,0.000432267,0.000432267
11,701.517,2.48666,1.57692,1.10742,0.35192,0.38499,0.28017,0.11656,2.39788,1.7031,1.11347,0.000421852,0.000421852,0.000421852
12,763.788,2.45954,1.54931,1.10955,0.34809,0.3998,0.28787,0.11796,2.38237,1.64599,1.09115,0.000411437,0.000411437,0.000411437
13,825.187,2.45349,1.52639,1.09557,0.35789,0.39143,0.28374,0.11726,2.38746,1.71623,1.0856,0.000401022,0.000401022,0.000401022
14,886.983,2.44121,1.50607,1.09786,0.34592,0.39429,0.28019,0.11972,2.38927,1.67152,1.10458,0.000390608,0.000390608,0.000390608
15,948.688,2.44766,1.50273,1.09615,0.35857,0.41517,0.29387,0.12146,2.38007,1.63735,1.0839,0.000380193,0.000380193,0.000380193
16,1011.52,2.43556,1.49011,1.10024,0.35098,0.4144,0.28799,0.12119,2.36106,1.62312,1.08919,0.000369778,0.000369778,0.000369778
17,1133.62,2.43423,1.47192,1.0941,0.35683,0.41913,0.29284,0.12158,2.36792,1.64391,1.08605,0.000359363,0.000359363,0.000359363
18,1196.79,2.41908,1.45807,1.09079,0.34588,0.42194,0.29697,0.12241,2.35143,1.61589,1.08633,0.000348948,0.000348948,0.000348948
19,1252.12,2.42455,1.45801,1.09325,0.36802,0.40237,0.29868,0.12846,2.34155,1.5979,1.08849,0.000338534,0.000338534,0.000338534
20,1308.52,2.40893,1.44613,1.08729,0.37986,0.41275,0.30257,0.12377,2.36431,1.6049,1.08672,0.000328119,0.000328119,0.000328119
21,1364.08,2.42341,1.44399,1.0863,0.36689,0.41836,0.30045,0.1254,2.3783,1.66742,1.093,0.000317704,0.000317704,0.000317704
22,1423.57,2.40571,1.42649,1.08388,0.37307,0.42713,0.30832,0.12983,2.32497,1.60091,1.07689,0.000307289,0.000307289,0.000307289
23,1540.59,2.39402,1.42426,1.08384,0.35624,0.43232,0.30411,0.12736,2.34548,1.59281,1.07927,0.000296874,0.000296874,0.000296874
24,1658.18,2.39851,1.41889,1.08552,0.34465,0.43281,0.30474,0.12817,2.34383,1.62121,1.07703,0.00028646,0.00028646,0.00028646
25,1777.27,2.39783,1.41534,1.08096,0.36038,0.42468,0.30976,0.12813,2.35363,1.58804,1.09067,0.000276045,0.000276045,0.000276045
26,1895.65,2.37747,1.3982,1.07186,0.34751,0.43713,0.3066,0.12923,2.35222,1.59013,1.0859,0.00026563,0.00026563,0.00026563
27,2008.79,2.37789,1.38979,1.0814,0.34634,0.43593,0.29976,0.12373,2.33776,1.62264,1.08034,0.000255215,0.000255215,0.000255215
28,2127.43,2.39121,1.40196,1.07322,0.34832,0.42375,0.29678,0.12435,2.32105,1.59268,1.07447,0.0002448,0.0002448,0.0002448
29,2232.27,2.36645,1.37985,1.0715,0.3578,0.44392,0.3061,0.12853,2.32868,1.60701,1.08399,0.000234386,0.000234386,0.000234386
30,2348.27,2.36578,1.38403,1.06784,0.36696,0.43408,0.30726,0.12696,2.33095,1.5924,1.06961,0.000223971,0.000223971,0.000223971
31,2456.68,2.36735,1.37234,1.07094,0.37058,0.43354,0.30718,0.12749,2.34399,1.56702,1.08702,0.000213556,0.000213556,0.000213556
32,2532.11,2.34453,1.36297,1.07114,0.37897,0.42867,0.31327,0.13152,2.32042,1.54348,1.08284,0.000203141,0.000203141,0.000203141
33,2586.28,2.36265,1.36508,1.06536,0.36176,0.43126,0.31155,0.13128,2.33266,1.55478,1.08316,0.000192726,0.000192726,0.000192726
34,2640.95,2.35751,1.35567,1.06766,0.36513,0.43731,0.30789,0.1286,2.33828,1.59398,1.08159,0.000182312,0.000182312,0.000182312
35,2707.71,2.33725,1.34606,1.06115,0.36442,0.4396,0.30821,0.12923,2.308,1.55874,1.07148,0.000171897,0.000171897,0.000171897
36,2762.21,2.34204,1.34334,1.06286,0.37094,0.43591,0.3111,0.13015,2.33745,1.60746,1.07693,0.000161482,0.000161482,0.000161482
37,2870.83,2.33897,1.34476,1.06394,0.37125,0.43236,0.3178,0.13213,2.31947,1.56828,1.06953,0.000151067,0.000151067,0.000151067
38,2985.94,2.3337,1.33399,1.05945,0.36684,0.44053,0.31701,0.1326,2.32303,1.5535,1.07786,0.000140652,0.000140652,0.000140652
39,3095.33,2.33183,1.33185,1.06213,0.37355,0.42573,0.30886,0.12872,2.34259,1.59172,1.08183,0.000130238,0.000130238,0.000130238
40,3210.13,2.33714,1.33755,1.0558,0.37663,0.42386,0.3186,0.13414,2.32555,1.54553,1.07353,0.000119823,0.000119823,0.000119823
41,3399.18,2.30857,1.33691,1.09843,0.3553,0.43781,0.30879,0.13016,2.33988,1.55924,1.08165,0.000109408,0.000109408,0.000109408
42,3512.62,2.29136,1.30831,1.09468,0.35426,0.44327,0.3128,0.13132,2.32754,1.56957,1.07457,9.89932e-05,9.89932e-05,9.89932e-05
43,3611.74,2.28647,1.307,1.09382,0.37292,0.43637,0.31547,0.13248,2.31111,1.56735,1.06809,8.85784e-05,8.85784e-05,8.85784e-05
44,3718.66,2.27567,1.29279,1.08982,0.3713,0.44023,0.31211,0.13043,2.32402,1.57077,1.07323,7.81636e-05,7.81636e-05,7.81636e-05
45,3829.34,2.28013,1.2926,1.08748,0.36554,0.43927,0.3147,0.13112,2.32702,1.56266,1.07343,6.77488e-05,6.77488e-05,6.77488e-05
46,3936.6,2.26388,1.28177,1.0848,0.36658,0.4431,0.31852,0.1336,2.31785,1.55965,1.06914,5.7334e-05,5.7334e-05,5.7334e-05
47,4040.48,2.26688,1.2806,1.08531,0.36805,0.43894,0.31092,0.13087,2.33164,1.58679,1.07258,4.69192e-05,4.69192e-05,4.69192e-05
48,4150.53,2.25418,1.26955,1.08145,0.36802,0.44503,0.31601,0.13233,2.32341,1.5654,1.07269,3.65044e-05,3.65044e-05,3.65044e-05
49,4241.29,2.25432,1.27639,1.0837,0.36736,0.44022,0.31233,0.13131,2.33166,1.57167,1.07758,2.60896e-05,2.60896e-05,2.60896e-05
50,4318.96,2.25006,1.26743,1.07709,0.3689,0.44086,0.31454,0.13226,2.32836,1.56422,1.07392,1.56748e-05,1.56748e-05,1.56748e-05
