epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13424,2.77458,1.66777,0.00379,0.35919,0.41899,0.30521,0.1254,2.74055,1.8095,0.00509,0.005842,0.005842,0.005842
44,13732,2.76356,1.6603,0.00382,0.34882,0.42085,0.30535,0.12328,2.74107,1.86719,0.00512,0.005743,0.005743,0.005743
45,14039.7,2.76205,1.6619,0.00381,0.34653,0.41389,0.28754,0.11267,2.80473,1.89929,0.0053,0.005644,0.005644,0.005644
46,14351.7,2.76167,1.65156,0.0038,0.3591,0.41211,0.30136,0.11974,2.7715,1.86518,0.00515,0.005545,0.005545,0.005545
47,14658.9,2.76863,1.65668,0.00378,0.35449,0.41937,0.29989,0.12187,2.74679,1.85333,0.00513,0.005446,0.005446,0.005446
48,14966,2.76141,1.64904,0.00378,0.34772,0.42752,0.29655,0.12407,2.72048,1.82422,0.00512,0.005347,0.005347,0.005347
49,15276.1,2.77463,1.63445,0.00379,0.35222,0.42057,0.30862,0.12384,2.76449,1.84888,0.00521,0.005248,0.005248,0.005248
50,15586,2.76103,1.63129,0.00376,0.34425,0.42187,0.29874,0.12211,2.74403,1.86198,0.00512,0.005149,0.005149,0.005149
51,15893.5,2.74786,1.63314,0.00375,0.34234,0.41359,0.29307,0.11992,2.76103,1.89439,0.00517,0.00505,0.00505,0.00505
52,16203.7,2.75231,1.62742,0.0038,0.35158,0.42667,0.30554,0.12582,2.74707,1.86871,0.00507,0.004951,0.004951,0.004951
53,16516.2,2.75993,1.63684,0.00378,0.35593,0.43183,0.30938,0.127,2.74675,1.84198,0.00513,0.004852,0.004852,0.004852
54,16810.4,2.75619,1.61653,0.00377,0.35737,0.42149,0.30202,0.12302,2.75193,1.87883,0.00528,0.004753,0.004753,0.004753
55,17117.1,2.74695,1.61572,0.00378,0.35312,0.42814,0.30849,0.12426,2.75731,1.81534,0.00512,0.004654,0.004654,0.004654
56,17424.2,2.75286,1.61968,0.00376,0.35698,0.43351,0.31049,0.12592,2.76939,1.83191,0.00522,0.004555,0.004555,0.004555
57,17730.6,2.75177,1.6114,0.00373,0.36769,0.43402,0.31524,0.12734,2.76633,1.83526,0.00515,0.004456,0.004456,0.004456
58,18038.2,2.73232,1.61135,0.00378,0.36319,0.42474,0.30551,0.12346,2.74642,1.84298,0.00514,0.004357,0.004357,0.004357
59,18346.6,2.73522,1.59727,0.00374,0.3554,0.43851,0.3109,0.12824,2.73772,1.8403,0.00519,0.004258,0.004258,0.004258
60,18655.4,2.73537,1.60331,0.00374,0.35611,0.42636,0.31021,0.12759,2.75029,1.8619,0.00521,0.004159,0.004159,0.004159
61,18962.9,2.73055,1.59507,0.00369,0.36046,0.43612,0.31542,0.12457,2.76306,1.84219,0.00515,0.00406,0.00406,0.00406
62,19268.9,2.716,1.59051,0.00373,0.35429,0.42894,0.30777,0.12368,2.74728,1.8483,0.00512,0.003961,0.003961,0.003961
63,19574.1,2.72139,1.59172,0.00368,0.3519,0.44523,0.31044,0.13087,2.70106,1.82914,0.00504,0.003862,0.003862,0.003862
64,19880.7,2.71362,1.57866,0.00367,0.35931,0.4277,0.30308,0.12133,2.77549,1.89951,0.00519,0.003763,0.003763,0.003763
