epoch,step,train_loss,val_loss
0,24,,0.7756030559539795
1,49,0.741962730884552,
1,49,,0.7642615437507629
2,74,,0.7542528510093689
3,99,0.7119755148887634,
3,99,,0.7454881072044373
4,124,,0.7378689646720886
