epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13962.1,2.70513,1.89124,0.00345,0.31746,0.31955,0.24118,0.07825,2.97104,2.16354,0.00466,0.000492625,0.000492625,0.000492625
43,14293.9,2.69507,1.8852,0.00343,0.33584,0.3252,0.25026,0.08511,2.95137,2.09391,0.00462,0.00048025,0.00048025,0.00048025
44,14621.9,2.68831,1.87838,0.00342,0.3215,0.31703,0.25381,0.0831,2.95319,2.07008,0.00468,0.000467875,0.000467875,0.000467875
45,14949.6,2.69051,1.87779,0.00342,0.32569,0.31545,0.25148,0.08353,2.9595,2.10112,0.00466,0.0004555,0.0004555,0.0004555
46,15286.8,2.67869,1.87257,0.00341,0.34608,0.32343,0.2606,0.08907,2.9231,2.08036,0.00455,0.000443125,0.000443125,0.000443125
47,15618.6,2.68414,1.86625,0.0034,0.33272,0.33676,0.2576,0.08639,2.93726,2.06565,0.00467,0.00043075,0.00043075,0.00043075
48,15950.5,2.67447,1.86912,0.00336,0.35206,0.31494,0.25669,0.08479,2.97467,2.10235,0.00469,0.000418375,0.000418375,0.000418375
49,16283.4,2.67315,1.86462,0.00336,0.33708,0.32096,0.25028,0.08182,2.97784,2.08451,0.00471,0.000406,0.000406,0.000406
50,16626.5,2.67753,1.85107,0.00335,0.32836,0.32714,0.25504,0.0856,2.96764,2.08969,0.00474,0.000393625,0.000393625,0.000393625
51,16959.5,2.65333,1.84543,0.00335,0.31698,0.32247,0.24792,0.08391,2.97314,2.10516,0.00475,0.00038125,0.00038125,0.00038125
52,17292.5,2.65753,1.84416,0.00335,0.33895,0.32141,0.25599,0.08491,2.95243,2.0706,0.00473,0.000368875,0.000368875,0.000368875
53,17628.1,2.66283,1.84275,0.00332,0.33417,0.3284,0.2615,0.08844,2.95071,2.04605,0.00464,0.0003565,0.0003565,0.0003565
54,17960.2,2.64383,1.82512,0.00335,0.33948,0.32337,0.2534,0.08367,2.96795,2.09199,0.00474,0.000344125,0.000344125,0.000344125
55,18295.1,2.65079,1.82139,0.00332,0.32885,0.32174,0.26105,0.08656,2.96543,2.08536,0.00471,0.00033175,0.00033175,0.00033175
56,18631.1,2.63955,1.81954,0.00332,0.33475,0.32802,0.25269,0.08355,2.95691,2.07534,0.00474,0.000319375,0.000319375,0.000319375
57,18963.5,2.64175,1.81422,0.0033,0.33883,0.32812,0.2511,0.08315,2.97374,2.04647,0.00474,0.000307,0.000307,0.000307
58,19299,2.63074,1.80618,0.0033,0.33485,0.32233,0.25417,0.08512,2.95962,2.10639,0.00472,0.000294625,0.000294625,0.000294625
59,19637.2,2.62836,1.80118,0.00328,0.32921,0.32979,0.25318,0.08492,2.96082,2.0714,0.00476,0.00028225,0.00028225,0.00028225
60,19968.5,2.63509,1.80032,0.00329,0.32876,0.32581,0.25326,0.08553,2.97797,2.10046,0.00478,0.000269875,0.000269875,0.000269875
61,20301.8,2.62226,1.78635,0.00327,0.3253,0.32779,0.24975,0.08431,2.95893,2.09471,0.0047,0.0002575,0.0002575,0.0002575
62,20628.7,2.61234,1.78784,0.00323,0.32364,0.3313,0.24978,0.08341,2.97557,2.09755,0.00474,0.000245125,0.000245125,0.000245125
63,20959.1,2.61715,1.78344,0.00325,0.3269,0.32522,0.25822,0.08472,2.96287,2.08524,0.00469,0.00023275,0.00023275,0.00023275
