epoch,step,train_loss,val_acc,val_loss
0,24,,0.5550000071525574,0.7624654173851013
1,49,0.8596552610397339,,
1,49,,0.5550000071525574,0.7491880655288696
2,74,,0.5600000023841858,0.7376956343650818
3,99,0.8156446814537048,,
3,99,,0.5600000023841858,0.7279249429702759
4,124,,0.5550000071525574,0.7197859287261963
