epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12883.7,2.00491,1.11935,0.00326,0.65234,0.65968,0.66508,0.30619,2.18478,1.36923,0.00437,0.0007294,0.0007294,0.0007294
43,13189.5,2.00493,1.11964,0.00327,0.67315,0.67024,0.68644,0.3165,2.14771,1.33616,0.00428,0.0007228,0.0007228,0.0007228
44,13496.3,1.99877,1.10168,0.00326,0.69164,0.63856,0.68309,0.31702,2.20543,1.31851,0.00444,0.0007162,0.0007162,0.0007162
45,13802.7,2.00073,1.12043,0.00325,0.67042,0.66701,0.69166,0.32342,2.15416,1.29874,0.0043,0.0007096,0.0007096,0.0007096
46,14107.4,1.99504,1.1083,0.00327,0.66133,0.65541,0.67891,0.31232,2.19655,1.3623,0.00441,0.000703,0.000703,0.000703
47,14414.1,1.98482,1.09752,0.00322,0.66449,0.6799,0.69791,0.3276,2.15244,1.30728,0.00436,0.0006964,0.0006964,0.0006964
48,14752.8,1.99031,1.09962,0.00323,0.64658,0.6568,0.66548,0.31234,2.20764,1.43636,0.00448,0.0006898,0.0006898,0.0006898
49,15097.3,1.98796,1.09557,0.00323,0.6569,0.65616,0.66926,0.3069,2.17569,1.37246,0.00438,0.0006832,0.0006832,0.0006832
50,15404.7,1.98308,1.08233,0.00322,0.66375,0.67459,0.67651,0.31216,2.18156,1.31618,0.00442,0.0006766,0.0006766,0.0006766
51,15710.8,1.98464,1.0877,0.00322,0.65101,0.67564,0.68634,0.31542,2.17269,1.33471,0.00437,0.00067,0.00067,0.00067
52,16015.8,1.9802,1.07754,0.00321,0.68026,0.67808,0.68907,0.31854,2.16002,1.31826,0.00435,0.0006634,0.0006634,0.0006634
53,16321.1,1.97981,1.06715,0.0032,0.66866,0.65455,0.67619,0.31216,2.21263,1.41061,0.00447,0.0006568,0.0006568,0.0006568
54,16628.2,1.96608,1.06293,0.00317,0.65743,0.65034,0.66579,0.30569,2.16968,1.40923,0.00438,0.0006502,0.0006502,0.0006502
55,16934.1,1.97268,1.05234,0.0032,0.65067,0.66876,0.67602,0.30589,2.22728,1.3423,0.0045,0.0006436,0.0006436,0.0006436
56,17239.6,1.97878,1.06789,0.0032,0.66717,0.65765,0.68001,0.309,2.20999,1.35373,0.00446,0.000637,0.000637,0.000637
57,17545.5,1.95197,1.05797,0.00315,0.67519,0.64844,0.67905,0.31568,2.17779,1.32594,0.00444,0.0006304,0.0006304,0.0006304
58,17852.2,1.95946,1.03652,0.00315,0.67574,0.6697,0.67312,0.3125,2.17374,1.35138,0.00438,0.0006238,0.0006238,0.0006238
59,18158.4,1.95023,1.03195,0.00316,0.65849,0.66312,0.67598,0.30703,2.19038,1.32779,0.0044,0.0006172,0.0006172,0.0006172
60,18464.3,1.93429,1.04023,0.00311,0.66918,0.67953,0.69027,0.32154,2.15884,1.31013,0.00433,0.0006106,0.0006106,0.0006106
61,18771.3,1.94617,1.02468,0.00314,0.66686,0.67665,0.6903,0.31781,2.1743,1.3328,0.00438,0.000604,0.000604,0.000604
62,19078.6,1.94212,1.00732,0.00312,0.66766,0.65867,0.66774,0.30448,2.19766,1.41485,0.00441,0.0005974,0.0005974,0.0005974
63,19384.4,1.9313,1.02902,0.0031,0.67812,0.66137,0.6757,0.30987,2.20596,1.40174,0.00443,0.0005908,0.0005908,0.0005908
64,19690.6,1.91595,1.01256,0.00306,0.67058,0.68327,0.68576,0.31788,2.17232,1.34202,0.00439,0.0005842,0.0005842,0.0005842
65,19997.3,1.92671,1.02877,0.00307,0.68046,0.64529,0.66664,0.30608,2.237,1.44617,0.00455,0.0005776,0.0005776,0.0005776
66,20303.8,1.92356,0.99638,0.00308,0.69371,0.65406,0.67227,0.30679,2.21949,1.42071,0.00453,0.000571,0.000571,0.000571
67,20609.4,1.92409,0.9948,0.00305,0.68399,0.63155,0.65627,0.29645,2.19523,1.43872,0.00451,0.0005644,0.0005644,0.0005644
68,20916.8,1.91232,1.00448,0.00303,0.68809,0.65324,0.68002,0.31194,2.21986,1.4409,0.00451,0.0005578,0.0005578,0.0005578
